V3_RECLAIM | NO_VERIFIED_EDGE | model A | policy {'p_tp_min': 0.25} | model_hash 5fc8dfc4486afbdb..
SIGNAL | MINT=d4c093d1a32d5902 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.13 | P_TP_FIRST=0.307 | P_SL_FIRST=0.520 | P_TIMEOUT=0.173 | EXPECTED_NET_SOL=+0.0047 | EXPECTED_NET_LCB90=-0.0243 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=rs_sol,dist_to_migration_sol,sell_vol_pre | TOP_RISK_DRIVERS=progress,headroom_025,recovery_speed | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0936 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=e7a7244559418b8f | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.81 | P_TP_FIRST=0.302 | P_SL_FIRST=0.638 | P_TIMEOUT=0.059 | EXPECTED_NET_SOL=+0.0157 | EXPECTED_NET_LCB90=-0.0132 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,rs_sol,creator_sold_flag | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2235 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=92f43a509e8927bf | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.41 | P_TP_FIRST=0.255 | P_SL_FIRST=0.666 | P_TIMEOUT=0.079 | EXPECTED_NET_SOL=+0.0356 | EXPECTED_NET_LCB90=-0.0005 | PREDICTION_UNCERTAINTY=0.066 | TOP_POSITIVE_DRIVERS=creator_sell_share,pullback_trades,pullback_slots | TOP_RISK_DRIVERS=creator_sold_flag,recovery_speed,pullback_duration_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0827 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4b9b977dd9f17c80 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.72 | P_TP_FIRST=0.317 | P_SL_FIRST=0.534 | P_TIMEOUT=0.149 | EXPECTED_NET_SOL=+0.0937 | EXPECTED_NET_LCB90=+0.0577 | PREDICTION_UNCERTAINTY=0.071 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=dist_to_migration_sol,rs_sol,creator_sold_flag | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2167 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=2d7c7ac8fa8c4bbf | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.41 | P_TP_FIRST=0.284 | P_SL_FIRST=0.657 | P_TIMEOUT=0.059 | EXPECTED_NET_SOL=+0.0102 | EXPECTED_NET_LCB90=-0.0187 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,pullback_depth | TOP_RISK_DRIVERS=buyer_retention,pullback_duration_s,buy_vol_pre | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2020 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=ccd31418206d762c | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.50 | P_TP_FIRST=0.303 | P_SL_FIRST=0.660 | P_TIMEOUT=0.037 | EXPECTED_NET_SOL=+0.0450 | EXPECTED_NET_LCB90=+0.0089 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=n_trades_total,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=creator_sold_flag,recovery_speed,buyer_retention | OUTCOME=SL_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=-0.0955 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=f151961efd1f02e7 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.44 | P_TP_FIRST=0.361 | P_SL_FIRST=0.579 | P_TIMEOUT=0.060 | EXPECTED_NET_SOL=+0.0126 | EXPECTED_NET_LCB90=-0.0163 | PREDICTION_UNCERTAINTY=0.073 | TOP_POSITIVE_DRIVERS=pullback_duration_s,buy_vol_pre,buyer_retention | TOP_RISK_DRIVERS=pullback_slots,creator_sell_share,new_buyers_post | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0933 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=5cab42b7bf3c0582 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.67 | P_TP_FIRST=0.319 | P_SL_FIRST=0.521 | P_TIMEOUT=0.161 | EXPECTED_NET_SOL=+0.0050 | EXPECTED_NET_LCB90=-0.0239 | PREDICTION_UNCERTAINTY=0.071 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=new_buyers_post,dist_to_migration_sol,rs_sol | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.1478 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=3a90d13994825ff9 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.87 | P_TP_FIRST=0.417 | P_SL_FIRST=0.574 | P_TIMEOUT=0.009 | EXPECTED_NET_SOL=+0.0215 | EXPECTED_NET_LCB90=-0.0074 | PREDICTION_UNCERTAINTY=0.075 | TOP_POSITIVE_DRIVERS=anchor_progress,progress,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,seller_inventory_decline,top1_share | OUTCOME=TP_FIRST (CROSS_MIGRATION) | PNL=+0.2612 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=5309f87adb720c69 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.39 | P_TP_FIRST=0.302 | P_SL_FIRST=0.644 | P_TIMEOUT=0.055 | EXPECTED_NET_SOL=+0.0178 | EXPECTED_NET_LCB90=-0.0112 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,same_slot_share | TOP_RISK_DRIVERS=new_buyers_post,pullback_duration_s,buy_vol_pre | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2538 | ACTION=WATCH (policy_enabled=false)
